RunId,iteration,Step,env_type,threshold_mean,threshold_std,observation_radius,n_agents,repression_step,instigator_threshold,dispersal_duration,cell_capacity,max_steps,seed,Mobilized,Dispersing,Sheltered,Demobilized,MobilizedProportion
0,0,99,kampung,0.25,0.1,0,200,1,0.15,3,15,100,,54,0,113,33,0.27
1,0,99,kampung,0.25,0.1,0,200,1,0.15,3,15,100,,75,0,91,34,0.375
2,0,99,kampung,0.25,0.1,0,200,1,0.15,3,15,100,,81,0,87,32,0.405
3,0,99,kampung,0.25,0.1,0,200,1,0.15,3,15,100,,79,0,97,24,0.395
4,0,99,kampung,0.25,0.1,0,200,1,0.15,3,15,100,,106,0,72,22,0.53
5,0,99,kampung,0.25,0.1,0,200,1,0.15,3,15,100,,60,0,107,33,0.3
6,0,99,kampung,0.25,0.1,0,200,1,0.15,3,15,100,,77,0,88,35,0.385
7,0,99,kampung,0.25,0.1,0,200,1,0.15,3,15,100,,51,0,108,41,0.255
8,0,99,kampung,0.25,0.1,0,200,1,0.15,3,15,100,,72,0,98,30,0.36
9,0,99,kampung,0.25,0.1,0,200,1,0.15,3,15,100,,62,0,101,37,0.31
10,0,99,kampung,0.25,0.1,1,200,1,0.15,3,15,100,,99,0,69,32,0.495
11,0,6,kampung,0.25,0.1,1,200,1,0.15,3,15,100,,126,0,44,30,0.63
12,0,11,kampung,0.25,0.1,1,200,1,0.15,3,15,100,,138,0,23,39,0.69
13,0,99,kampung,0.25,0.1,1,200,1,0.15,3,15,100,,163,0,2,35,0.815
14,0,8,kampung,0.25,0.1,1,200,1,0.15,3,15,100,,148,0,17,35,0.74
15,0,99,kampung,0.25,0.1,1,200,1,0.15,3,15,100,,40,0,117,43,0.2
16,0,10,kampung,0.25,0.1,1,200,1,0.15,3,15,100,,161,0,17,22,0.805
17,0,99,kampung,0.25,0.1,1,200,1,0.15,3,15,100,,100,0,65,35,0.5
18,0,99,kampung,0.25,0.1,1,200,1,0.15,3,15,100,,147,0,22,31,0.735
19,0,99,kampung,0.25,0.1,1,200,1,0.15,3,15,100,,79,0,84,37,0.395
20,0,99,kampung,0.25,0.15,0,200,1,0.15,3,15,100,,92,0,71,37,0.46
21,0,99,kampung,0.25,0.15,0,200,1,0.15,3,15,100,,91,0,68,41,0.455
22,0,99,kampung,0.25,0.15,0,200,1,0.15,3,15,100,,105,0,70,25,0.525
23,0,99,kampung,0.25,0.15,0,200,1,0.15,3,15,100,,124,0,44,32,0.62
24,0,99,kampung,0.25,0.15,0,200,1,0.15,3,15,100,,123,0,55,22,0.615
25,0,99,kampung,0.25,0.15,0,200,1,0.15,3,15,100,,127,0,46,27,0.635
26,0,99,kampung,0.25,0.15,0,200,1,0.15,3,15,100,,108,0,54,38,0.54
27,0,99,kampung,0.25,0.15,0,200,1,0.15,3,15,100,,125,0,49,26,0.625
28,0,99,kampung,0.25,0.15,0,200,1,0.15,3,15,100,,92,0,70,38,0.46
29,0,99,kampung,0.25,0.15,0,200,1,0.15,3,15,100,,107,0,54,39,0.535
30,0,6,kampung,0.25,0.15,1,200,1,0.15,3,15,100,,168,0,1,31,0.84
31,0,99,kampung,0.25,0.15,1,200,1,0.15,3,15,100,,168,0,1,31,0.84
32,0,99,kampung,0.25,0.15,1,200,1,0.15,3,15,100,,157,0,4,39,0.785
33,0,6,kampung,0.25,0.15,1,200,1,0.15,3,15,100,,163,0,8,29,0.815
34,0,5,kampung,0.25,0.15,1,200,1,0.15,3,15,100,,159,0,13,28,0.795
